dataset,model,label,accuracy,f1,recall,precision
FacesUCR,dagmm,4.0,0.26,0.35006375976126003,0.2267627981774322,0.905297434273044
FacesUCR,dagmm,5.0,0.1546341463414634,0.17176502928553047,0.09986670240328768,0.7119349593495935
FacesUCR,dagmm,6.0,0.29121951219512193,0.36959604527904083,0.23960260877334025,0.9301277584204413
FacesUCR,dagmm,7.0,0.24585365853658536,0.3233959164625864,0.20180141809410085,0.9482926829268292
FacesUCR,dagmm,8.0,0.19902439024390245,0.19086471061219965,0.11184028979150921,0.7973983739837399
FacesUCR,dagmm,9.0,0.615609756097561,0.730594744351269,0.6436797998749215,0.9179520425374083
FacesUCR,dagmm,10.0,0.2521951219512195,0.34099280293857204,0.21453301170374325,0.9376817653890824
FacesUCR,dagmm,11.0,0.021463414634146343,0.0,0.0,0.0
FacesUCR,dagmm,12.0,0.16195121951219513,0.22002652908520115,0.1295245242562315,0.8582764227642277
FacesUCR,dagmm,13.0,0.14341463414634145,0.0,0.0,0.0
FacesUCR,dagmm,14.0,0.31609756097560976,0.4484221650400861,0.3049881175734833,0.962059620596206
FiftyWords,dagmm,1.0,0.22637362637362637,0.2557288286434682,0.15566396972990382,0.8345787545787545
FiftyWords,dagmm,2.0,0.09230769230769231,0.0,0.0,0.0
FiftyWords,dagmm,3.0,0.06153846153846154,0.0,0.0,0.0
FiftyWords,dagmm,4.0,0.12967032967032968,0.13107308240435178,0.07489272632129775,0.6212454212454213
FiftyWords,dagmm,5.0,0.7824175824175824,0.8621687316815173,0.8205788350843296,0.9328488361455394
FiftyWords,dagmm,6.0,0.3076923076923077,0.42526789734312365,0.28697500301895906,0.9422291993720565
FiftyWords,dagmm,7.0,0.31648351648351647,0.45685576488931023,0.31106549128527144,0.9506855049712194
FiftyWords,dagmm,8.0,0.48131868131868133,0.6136826578351542,0.4727367870225014,0.9803244374672946
FiftyWords,dagmm,9.0,0.8021978021978022,0.877290938086792,0.8221583544660469,0.966043089999134
FiftyWords,dagmm,10.0,0.2087912087912088,0.31296081185510644,0.1897854526425955,0.992967032967033
FiftyWords,dagmm,11.0,0.8857142857142857,0.933396491414607,0.9067399267399268,0.9731191885038039
FiftyWords,dagmm,12.0,0.13846153846153847,0.21693751724711482,0.12623757195185764,0.8556776556776556
FiftyWords,dagmm,13.0,0.16923076923076924,0.26584694876601117,0.15829811214426598,0.9531135531135532
FiftyWords,dagmm,14.0,0.6813186813186813,0.7850782356812702,0.6871794871794872,0.9807718532993259
FiftyWords,dagmm,15.0,0.42637362637362636,0.5760105190862352,0.41695447409733133,0.9968031968031968
FiftyWords,dagmm,16.0,0.25934065934065936,0.37867031048193667,0.2491889063317635,0.967032967032967
FiftyWords,dagmm,17.0,0.8945054945054945,0.9375787935479902,0.9090109890109891,0.9835688121402406
FiftyWords,dagmm,18.0,0.2571428571428571,0.38450044586279036,0.2540659340659341,0.9871062271062271
FiftyWords,dagmm,19.0,0.15164835164835164,0.2453288575889195,0.14652014652014653,0.8720879120879121
FiftyWords,dagmm,20.0,0.013186813186813187,0.0,0.0,0.0
FiftyWords,dagmm,21.0,0.37142857142857144,0.519270566730953,0.36937728937728936,0.97568463282749
FiftyWords,dagmm,22.0,0.8879120879120879,0.928936428051,0.8942124542124541,0.9905808477237049
FiftyWords,dagmm,23.0,0.12527472527472527,0.20831337908737288,0.1221978021978022,0.8937728937728937
FiftyWords,dagmm,24.0,0.7868131868131868,0.8503881440165758,0.7930507587650444,0.9793406593406594
FiftyWords,dagmm,25.0,0.017582417582417582,0.0,0.0,0.0
FiftyWords,dagmm,26.0,0.38461538461538464,0.5382540294775063,0.3791941391941392,1.0
FiftyWords,dagmm,27.0,0.7538461538461538,0.8313386163566784,0.7588278388278389,0.9907016060862215
FiftyWords,dagmm,28.0,0.24835164835164836,0.3862123724954715,0.24571428571428572,0.9882783882783882
FiftyWords,dagmm,29.0,0.01098901098901099,0.0,0.0,0.0
FiftyWords,dagmm,30.0,0.9714285714285714,0.9823999656257721,0.974945054945055,0.9956043956043956
FiftyWords,dagmm,31.0,0.013186813186813187,0.0,0.0,0.0
FiftyWords,dagmm,32.0,0.05934065934065934,0.1016447604682899,0.05523809523809524,0.7032967032967034
FiftyWords,dagmm,33.0,0.643956043956044,0.7527095466441781,0.6458608058608059,0.9764102564102564
FiftyWords,dagmm,34.0,0.01098901098901099,0.0,0.0,0.0
FiftyWords,dagmm,35.0,0.7142857142857143,0.8031626999269396,0.7148717948717949,0.9978021978021978
FiftyWords,dagmm,36.0,0.5538461538461539,0.6927855797781252,0.5564835164835165,0.9926739926739927
FiftyWords,dagmm,37.0,0.34945054945054943,0.49627231964620194,0.3452014652014653,0.9846153846153847
FiftyWords,dagmm,38.0,0.9912087912087912,0.995462601914215,1.0,0.9912087912087912
FiftyWords,dagmm,39.0,0.008791208791208791,0.0,0.0,0.0
FiftyWords,dagmm,40.0,0.008791208791208791,0.0,0.0,0.0
FiftyWords,dagmm,41.0,0.013186813186813187,0.0,0.0,0.0
FiftyWords,dagmm,42.0,0.01098901098901099,0.0,0.0,0.0
FiftyWords,dagmm,43.0,0.9934065934065934,0.9965478690044447,1.0,0.9934065934065934
FiftyWords,dagmm,44.0,0.17362637362637362,0.28662616954523196,0.1742124542124542,0.9424175824175824
FiftyWords,dagmm,45.0,0.006593406593406593,0.0,0.0,0.0
FiftyWords,dagmm,46.0,0.9054945054945055,0.9376724659057686,0.909157509157509,0.9956043956043956
FiftyWords,dagmm,47.0,0.006593406593406593,0.0,0.0,0.0
FiftyWords,dagmm,48.0,0.7450549450549451,0.8417575620126715,0.7471062271062271,0.9978021978021978
FiftyWords,dagmm,49.0,0.008791208791208791,0.0,0.0,0.0
FiftyWords,dagmm,50.0,0.008791208791208791,0.0,0.0,0.0
Fish,dagmm,1.0,0.37714285714285717,0.4609854986998614,0.35729007500436066,0.771968475968476
Fish,dagmm,2.0,0.56,0.6572882497263836,0.5627176632890919,0.878037518037518
Fish,dagmm,3.0,0.21142857142857144,0.21712022352800772,0.13756567242281528,0.7028571428571428
Fish,dagmm,4.0,0.1657142857142857,0.0,0.0,0.0
Fish,dagmm,5.0,0.2571428571428571,0.3247722872242997,0.22221245421245422,0.6672108843537414
Fish,dagmm,6.0,0.14285714285714285,0.0,0.0,0.0
Fish,dagmm,7.0,0.68,0.7519088711768297,0.6932663526949242,0.9245714285714286
FordA,dagmm,-1.0,0.4825757575757576,0.18387879698040122,0.14356098447007537,0.3455026455026456
FordA,dagmm,1.0,0.478030303030303,0.2695437078185276,0.21382176745813108,0.4849166994621539
FordB,dagmm,-1.0,0.49506172839506174,0.0,0.0,0.0
FordB,dagmm,1.0,0.5061728395061729,0.3742800393769319,0.34158195713751266,0.5280432873025466
GunPoint,dagmm,1.0,0.56,0.38696644531938645,0.3243956043956044,0.6333333333333333
GunPoint,dagmm,2.0,0.43333333333333335,0.20482332482332483,0.18637037037037038,0.30069841269841274
Ham,dagmm,1.0,0.4666666666666667,0.09242452536570185,0.05201465201465202,0.45714285714285713
Ham,dagmm,2.0,0.5142857142857142,0.0,0.0,0.0
HandOutlines,dagmm,0.0,0.31891891891891894,0.05845109845109845,0.032963312963312966,0.2810810810810811
HandOutlines,dagmm,1.0,0.5837837837837838,0.32166284166284165,0.3131703131703132,0.3648391248391249
Haptics,dagmm,1.0,0.19480519480519481,0.0,0.0,0.0
Haptics,dagmm,2.0,0.18831168831168832,0.0,0.0,0.0
Haptics,dagmm,3.0,0.19155844155844157,0.0,0.0,0.0
Haptics,dagmm,4.0,0.487012987012987,0.5503945580505498,0.5005139160983317,0.7427053466014506
Haptics,dagmm,5.0,0.21753246753246752,0.0,0.0,0.0
Herring,dagmm,1.0,0.5,0.1611111111111111,0.11904761904761904,0.25
Herring,dagmm,2.0,0.40625,0.0,0.0,0.0
InlineSkate,dagmm,1.0,0.21636363636363637,0.274136071015328,0.170077195531741,0.82195670995671
InlineSkate,dagmm,2.0,0.2909090909090909,0.2983016625617245,0.1940846224482588,0.7400865800865801
